Timestamp,Transcript
1:14:10,"""I'm trying to get the sequence of the events they are describing here. It's not necessarily about POK or anything else. I'm just trying to figure out anything has been happening. Right now it's obvious that ever since their leader died in possible from police forces. They started to increasingly more and more violent qadn protesting around June 20th and 21th which is the anniversary of his death. that keep happening and vandelisem writing usually tear gas involves so far. and Jun 2013 was the last protesting and then kidnaping happend in 2014"""
1:14:25,User changed the topic: (POK Events) [bottom-up]
1:15:10,"""The dates doesn't signify anything I guess I just want to took advantage of it"""
1:15:29,"""I'm seeing these. since may 2011 there is an increase in drug use also.So they're profiting from this. That's kind of POK's operations leading up to this kidnaping"""
1:15:47,"Picking a document in title ""Dec 2013. POK Assault Police in Abila"""
1:16:17,"Adding more notes in Note 1: ""December 2013 - POK attacked police officer in Abila"""
1:16:28,"""A month before kidnaping POK attacks a police officer"""
1:16:51,"Picking a document in title ""May 2003. THE COO OF DIES IN 73"""
1:17:12,"Picking a document in title ""Sep.t 2005. RETURN OF THE PROTESTS OF ELODIS TO THE UPROARS AND THE HALTINGS"""
1:17:31,"Picking a document in title ""Nov 1998. WELLNESS FOR ALL (WFA) BLASTS GASTECH AND KRONOS GOVT"""
1:17:40,"Picking a document in title ""Jan 2014 Meeting announcement"""
1:17:57,"Picking a document in title ""Jan 2014. Centrum Sentinel"""
1:18:07,"Picking a document in title ""Jan 2014. ON SCENE BLOG Modern Rubicon"""
1:18:08,"Picking a document in title ""Jan 2014. Breaking: Emergency at GAStech Headquarters Building"""
1:18:16,"Picking a document in title ""Jan 2014. POK Kidnaps GAStech Employees"""
1:18:43,"Searching for ""edward"""
1:18:50,"Picking a document in title ""Jan 2014. REMOVAL AT GASTECH KRONOS"""
1:18:52,"""This has to be related to Juliana"""
1:18:57,"Picking a document in title ""Jan 2014. WRAP UP OF EVENTS AT GASTECH"""
1:19:17,Reading and comparing last documents
1:19:41,"""Still not too much"""
1:19:55,"Writing a new note, Note 2: ""January 2014 incident - Edvard Vann - Gastech employess, shares family name with several POK members, most likelt related to Julianna Vann"""
1:20:39,"""This guy Edvard is a Gastech employee but he's most likely related to Juliana. who died because of Gastech contamination"""
1:20:52,"""He was interigated for six hours which doesn't really fly. seems it was more than interigation"""
1:21:08,Making connection between four documents about Edvard
1:21:19,"Highlighting ""On this moment nobody responsibility for removal has gebistc. Edvard Vann. GAStech - Kronos the security guard which was questioned and after 6 hours was delivered. the daders behind the events of today indicated became suspicious on the guards of Kronos such as are"""
1:21:39,"Picking a document in title ""Jan 2014. REMOVAL AT GASTECH KRONOS"""
1:21:53,"Picking a document in title ""Jan 2014. Blog posts: ON SCENE BLOG Modern Rubicon"""
1:21:52,"Picking a document in title "" Jan 2014. DEMANDS OF THE RESCUE DONE IN THE KIDNAPPING OF GASTECH"""
1:22:01,"""Ok. so POK did it. at least it is what it says here."""
1:22:23,Still reading the document
1:22:48,"Highlighting ""the protectors of Kronos not only have taken the responsibility from the kidnapping of the international employees of GAStech. but also they have made a demand of the rescue of $20M of the president and the CEO Sten Sanjorge. Jr."""
1:22:57,"Searching for ""20m"""
1:23:02,"Picking a document in title ""Jan 2014. RANSOM DEMANDS MADE IN GASTECH KIDNAPPING"""
1:23:08,"Picking a document in title ""Jan 2014. THE REQUIREMENTS OF THE RANSOM WHICH ARE MADE IN REMOVAL GASTECH"""
1:23:17,"""POK did it and they want $20M and the CEO"""
1:23:25,"Adding more notes in Note 2: ""POK asumed responsiblity of the kidnapping, wants $20M and CEO of GAStech"""
1:24:02,Making connection between documents about kidnaper's $20M demand
1:24:11,"Picking a document in title ""Jan 2014. Centrum Sentinel"""
1:24:15,User changed the topic: (Events in the kidnapping) [bottom-up]
1:24:24,"Picking a document in title ""Jan 2014. To break off itself: The emergency to GAStech quarters the construction"""
1:24:30,"Picking a document in title ""Jan 2014. Homeland Illumination"""
1:24:48,"Picking a document in title ""Jan 2014. MEETING SET FOR TOMORROW MORNING"""
1:24:49,"""I'm guessing that jet that landed that night was the president and the CEO"""
1:25:08,"Adding more notes in Note 2: ""CEO of Gastech arrives at night to meet with Abila police the next day"""
1:25:20,"""So they got the CEO"""
1:25:31,"Picking a document in title ""an 2014. Blog posts: Homeland Illumination"""
1:25:44,"Picking a document in title ""Jan 2014. MEETING SET FOR TOMORROW MORNING"""
1:26:18,"Adding more notes in Note 2: ""Jan 20 Gastech offcials and govt officials suspected to have fled country"""
1:26:42,"Searching for ""Fled"""
1:26:55,"""So looks like they met and then they fled the country soon after."""
1:27:04,"Picking a document in title ""Jan 2014. Blog notes: Homeland Illumination"""
1:27:24,"Picking a document in title ""Jan 2014. Blog notes: ON SCENE BLOG Modern Rubicon"""
1:27:53,"Adding more notes in Note 2: ""Bomb theeat or fire caused a distraction which enabled the kidnapping """
1:28:17,"Picking a document in title ""Jan 2014. Breaking: Emergency at GAStech Headquarters Building"""
1:28:23,"Picking a document in title ""Jan 2014. MEETING SET FOR TOMORROW MORNING"""
1:28:26,"""yeah. someone pulled the fire alarm or something"""
1:28:50,"""What it looks like is that when this happend caused the distraction and this guy Ewrad Vann which is an employee was interigated for 6 hours. he also has same last name with POK guy"""
1:29:18,"""Later that evening POK got the responsibling for the kidnaping."""
1:29:38,"""CEO left the Kronos at night to meet ith the police the next they. and 12pm they reported to run away"""
1:29:49,"Picking a document in title ""Jan 2014. Blog notes: Homeland Illumination"""
1:29:55,"Picking a document in title ""Jan 2014. Blog notes: Centrum Sentinel"""
1:30:11,"Picking a document in title ""Jan 2014. Blog notes: ON THE SCENE BLOG"""
1:30:27,"""Then later it says that Kronos officials and Gastech officials in Thytes """
1:30:35,"Picking a document in title ""Jan 2014. Blog notes: ON THE SCENE BLOG"""
1:30:43,"Picking a document in title ""Jan 2014. ABILA AIRPORT CONFIRMS TWO PRIVATE JETS LEFT TODAY"""
1:30:59,"Picking a document in title "" Jan 2014. Blog notes: ON THE SCENE BLOG"""
1:31:23,"Picking a document in title ""Jan 2014. To break off itself: The emergency to GAStech quarters the construction"""
1:31:26,"Picking a document in title "" Jun 2013. The annual ends of the collection POK in babble"""
1:31:40,"""Some car pulled to the building people assume they are probably government officials. maybe"""
1:31:48,"Picking a document in title ""Jan 2014 Meeting announcement"""
1:32:12,"Picking a document in title ""Jan 2014. Blog notes: Homeland Illumination"""
1:32:18,"Picking a document in title ""Jan 2014. GAStech and Kronos Celebrate Partnership"""
1:32:34,"Picking a document in title ""Jan 2014. Blog notes: ON THE SCENE BLOG"""
1:32:54,"Picking a document in title ""Jan 2014. Homeland Illumination"""
1:32:54,"""One of the plane landed on the way"""
1:33:03,"""Maybe the kidnapers split them up"""
1:33:03,"Picking a document in title ""Jan 2014. Police Hold News Conference on GAStech Kidnapping"""
1:33:09,User changed the topic: (Events after kidnapping day) [bottom-up]
1:33:13,"""Oh. four people were found"""
1:33:41,"Adding more notes in Note 2: ""Jan 21, 4 people found, 10 still missing"""
1:34:02,"Searching for ""Jan 21"""
1:34:10,"Picking a document in title "" Jan 214. Blog post: Modern Rubicon"""
1:34:11,"""Nop"""
1:34:15,"Searching for ""21"""
1:34:19,"Picking a document in title ""Jan 2014. Blog posts: Centrum Sentinel"""
1:34:43,"Picking a document in title ""Jan 2014. THE REQUIREMENTS OF THE RANSOM WHICH ARE MADE IN REMOVAL GASTECH"""
1:34:53,"Picking a document in title "" Jan 2014. RANSOM DEMANDS MADE IN GASTECH KIDNAPPING News Online Today"""
1:35:04,"""So after 3 people were found"""
1:35:34,"Picking a document in title "" Jan 2014. Employees of GASTech removed in Kronos"""
1:35:51,Looking through titles
1:36:05,"""Four people were found. ten still missing and the POK in the same day got responsibility and want 20M"""
1:36:24,Looking through titles
1:36:45,"Picking a document in title ""Jan 2014. Breaking: Emergency at GAStech Headquarters Building"""
1:36:52,"Picking a document in title ""Jan 2014. ON SCENE BLOG Modern Rubicon"""
